 0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
-0.0020,  0.0634,  0.0635,  0.0634,  0.0634,  0.0634,  0.0634,  0.0634
-0.0080,  0.1266,  0.1269,  0.1266,  0.1266,  0.1266,  0.1266,  0.1266
-0.0181,  0.1893,  0.1904,  0.1893,  0.1893,  0.1893,  0.1893,  0.1893
-0.0321,  0.2511,  0.2539,  0.2511,  0.2511,  0.2511,  0.2511,  0.2511
-0.0499,  0.3120,  0.3173,  0.3120,  0.3120,  0.3120,  0.3120,  0.3120
-0.0716,  0.3717,  0.3808,  0.3717,  0.3717,  0.3717,  0.3717,  0.3717
-0.0971,  0.4298,  0.4443,  0.4298,  0.4298,  0.4298,  0.4298,  0.4298
-0.1262,  0.4862,  0.5077,  0.4862,  0.4862,  0.4862,  0.4862,  0.4862
-0.1587,  0.5406,  0.5712,  0.5406,  0.5406,  0.5406,  0.5406,  0.5406
-0.1947,  0.5929,  0.6347,  0.5929,  0.5929,  0.5929,  0.5929,  0.5929
-0.2340,  0.6428,  0.6981,  0.6428,  0.6428,  0.6428,  0.6428,  0.6428
-0.2763,  0.6901,  0.7616,  0.6901,  0.6901,  0.6901,  0.6901,  0.6901
-0.3215,  0.7346,  0.8251,  0.7346,  0.7346,  0.7346,  0.7346,  0.7346
-0.3694,  0.7761,  0.8885,  0.7761,  0.7761,  0.7761,  0.7761,  0.7761
-0.4199,  0.8146,  0.9520,  0.8146,  0.8146,  0.8146,  0.8146,  0.8146
-0.4728,  0.8497,  1.0155,  0.8497,  0.8497,  0.8497,  0.8497,  0.8497
-0.5277,  0.8815,  1.0789,  0.8815,  0.8815,  0.8815,  0.8815,  0.8815
-0.5846,  0.9096,  1.1424,  0.9096,  0.9096,  0.9096,  0.9096,  0.9096
-0.6431,  0.9341,  1.2059,  0.9341,  0.9341,  0.9341,  0.9341,  0.9341
-0.7031,  0.9549,  1.2693,  0.9549,  0.9549,  0.9549,  0.9549,  0.9549
-0.7642,  0.9718,  1.3328,  0.9718,  0.9718,  0.9718,  0.9718,  0.9718
-0.8264,  0.9848,  1.3963,  0.9848,  0.9848,  0.9848,  0.9848,  0.9848
-0.8892,  0.9938,  1.4597,  0.9938,  0.9938,  0.9938,  0.9938,  0.9938
-0.9524,  0.9989,  1.5232,  0.9989,  0.9989,  0.9989,  0.9989,  0.9989
-1.0159,  0.9999,  1.5867,  0.9999,  0.9999,  0.9999,  0.9999,  0.9999
